inn;name;full_name;site;region;address;contacts;email;revenue_year;revenue,  млн.руб;okved_main;segment_tag;source;fns_card
7707749887;Marvelous;"ООО ""МАРВЕЛОС""";https://marvelous.ru/;Москва;Москва, ул. Скаковая, 36, офис 301;+7 (495) 604-10-57;friends@marvelous.ru;2025;201,1;73.11 Деятельность рекламных агентств;"BTL;digital;PR;креативное";marketingtech;https://bo.nalog.gov.ru/organizations-card/4074583
7701810493;emg;"ООО ""ЭМГ";http://emg.ru;Москва;Москва, ул. Народная, 14, стр. 3;+7 (495) 797-86-64;emg@emg.ru;2024;778,5;73.11 Деятельность рекламных агентств;"Стратегическое планирование;Оформление мест продаж POS;Мерчандайзинг;BTL агентства;Лидеры рынка;Презентации;Избранное;Сэмплинг;РАМУ;АКАР;emg";alladvertising;https://bo.nalog.gov.ru/organizations-card/5404256
7725693725;OPEN Group;"ООО ""ОУПЕН МСК""";https://open-com.ru;Москва;Москва,  Ленинградский пр., 36, стр. 11, офис 701;+7 (499) 649-00-80;sales@open-com.ru;2024;9 032;47.11.3 Деятельность по розничной торговле большим товарным ассортиментом с преобладанием продовольственных товаров в неспециализированных магазинах;"Стратегическое планирование;Оформление мест продаж POS;Мерчандайзинг;BTL агентства;Лидеры рынка;OPEN Group;Избранное;Сэмплинг;Indoor;РАМУ;АКАР";alladvertising;https://bo.nalog.gov.ru/organizations-card/2097803
7734366435;Creon;"ООО ""СИ ДЖИ СИ""";https://creon-cg.com;Москва;Москва, ул. Большая Новодмитровская, 36, стр. 2;+7 (499) 372-32-31;info@creon-cg.com;2024;758,3;73.11 Деятельность рекламных агентств;"Оформление мест продаж POS;BTL агентства;Лидеры рынка;Презентации;Избранное;Creon PR;Сэмплинг;Стенды;Creon;РАМУ";alladvertising;https://bo.nalog.gov.ru/organizations-card/9458205
9709070396;BM Group;"ООО ""БИЭМ ГРУПП ИНТЕГРАТОР""";https://bm-technology.ru;Москва;Москва, Б. Полуярославский пер., 10, корп. 2;+7 (495) 150-16-14;info@bm-technology.ru;2024;1871;28.99.9 Производство оборудования специального назначения, не включенного в другие группировки;"Нестандартные носители;Дополненная реальность;Витрины и вывески;BTL агентства;Лидеры рынка;Избранное;BM Group;Стенды;Indoor";alladvertising;https://bo.nalog.gov.ru/organizations-card/11554384
7707373225;N:OW;"ООО ""НАУ""";https://now-agency.ru;Москва;Москва, ул. Скаковая, 36, офис 300;+7 953 435-91-63;hello@now-agency.ru;2020;201,1;73.11 Деятельность рекламных агентств;"Сувенирная продукция;Организация выставок;Event-management;BTL агентства;Лидеры рынка;PR агентства;Презентации;Избранное;Стенды;АКАР;REMA;N:OW;SMM";alladvertising;https://bo.nalog.gov.ru/organizations-card/9927718
7839439592;Sport Media Alliance;"ООО ""Спорт Медиа""";http://sma-russia.ru;Санкт-Петербург;Санкт-Петербург, наб. Крюкова канала, 25, 2 этаж;+7 (812) 644-60-44;sales@sma-russia.ru;2024;293,6;73.11 Деятельность рекламных агентств;"Нестандартные носители;Sport Media Alliance;Световые короба;BTL агентства;Fitness Media;Лидеры рынка;Медиаселлеры;Health Media;Избранное;Сэмплинг;IdeaNext;Стенды;Indoor;Воздух";alladvertising;https://bo.nalog.gov.ru/organizations-card/3272031
7801379087;АЛИДИ Продвижение;"ООО ""АЛИДИ ПРОДВИЖЕНИЕ""";https://alidi-agency.ru;Москва;Москва, Старопетровский пр., 7А, стр. 25;+7 (800) 775-75-00;agency@alidi.ru;2024;1623;73.11 Деятельность рекламных агентств;"Оформление мест продаж POS;АЛИДИ Продвижение;Мерчандайзинг;BTL агентства;Лидеры рынка;Консалтинг;Избранное;ALIDI";alladvertising;https://bo.nalog.gov.ru/organizations-card/3613414
7723860427;Хорошие люди;"ООО ""ГОЛДЕН ШЕЛФ""";https://www.horoshie-ludi.ru;Москва;Москва, ул. Староалексеевская, 5, офис 300;+7 (495) 230-24-56;info@horoshie-ludi.ru;2024;317,4;73.1 Деятельность рекламная;"Оформление мест продаж POS;Good People Group;Мерчандайзинг;BTL агентства;Лидеры рынка;Хорошие люди;Презентации;Избранное;Сэмплинг;РАМУ";alladvertising;https://bo.nalog.gov.ru/organizations-card/7692645
7701095966;Ambitica;"ООО ""АМБИТИКА МЕДИА ПЛЮС""";https://www.ambitica.ru;Москва;Москва, Большой Саввинский переулок, 12, стр. 18;+7 (495) 363-14-14;info@ambitica.ru;2024;830,8;73.11 Деятельность рекламных агентств;"Нестандартные носители;Медиа-агентства;BTL агентства;Лидеры рынка;Медиабайеры;Избранное;Ambitica;Стенды;Indoor;АКАР";alladvertising;https://bo.nalog.gov.ru/organizations-card/9151269
7825382385;RI Communication;ООО «Эр Ай Коммуникейшн»;https://ricommunication.ru;Санкт-Петербург;Санкт-Петербург, Удельный пр., 5;+7 (495) 846-84-95;info@ricommunication.ru;2024;203,1;73.20.1 Исследование конъюнктуры рынка;"Оформление мест продаж POS;RI Communication;Мерчандайзинг;BTL агентства;Презентации;Избранное;Сэмплинг;RUSINFO;АКАР;РАМУ";alladvertising;https://bo.nalog.gov.ru/organizations-card/7048086
7813604450;Master In;"ООО ""МАСТЕР ИН СТРАНА""";https://master-in.ru;Санкт-Петербург;Санкт-Петербург, ул. Миллионная, 6, офис 104;+7 (495) 255-06-07;sale@master-in.ru;2024;518,3;73.11 Деятельность рекламных агентств;"Полиграфическое производство;Нестандартные носители;Реклама на транспорте;Витрины и вывески;Цифровые экраны;Световые короба;Медиа-агентства;BTL агентства;Лидеры рынка;Медиаселлеры;Медиабайеры;Избранное;Master In;Стенды;Indoor;АКАР";alladvertising;https://bo.nalog.gov.ru/organizations-card/8998689
7725641460;Progression Group;ООО «Прогрешен»;https://progressiongroup.ru;Москва;Москва, Берсеневская наб., 8, стр. 1;+7 (495) 748-59-60;info@progressiongroup.ru;2024;555,1;73.11 Деятельность рекламных агентств;"Стратегическое планирование;Реклама в социальных сетях;Агентства полного цикла;Медиапланирование;Progression Group;Интернет-реклама;Мерчандайзинг;BTL агентства;Лидеры рынка;Медиабайеры;Progression;Избранное;Игроник;РАМУ;АКАР;SMM";alladvertising;https://bo.nalog.gov.ru/organizations-card/2874875
7714871694;RED Agency;"ООО ""РЭД ЭДЖЕНСИ""";https://red-agency.ru;Москва;Москва, Большой Саввинский пер., 12, стр. 18, офис 302;+7 (495) 787-25-87;blue@red-agency.ru;2024;361,4;73.11 Деятельность рекламных агентств;"Оформление мест продаж POS;Интернет-реклама;Мерчандайзинг;BTL агентства;Лидеры рынка;Red Agency;Избранное;Стенды";alladvertising;https://bo.nalog.gov.ru/organizations-card/723690
9705132370;Level Agency;ООО «Левел Эйдженси»;https://level-agency.com;Москва;Москва, ул. Большая Татарская, 35, стр. 7-9, офис 14Б;+7 (495) 122-22-69;info@level-agency.com;2024;273,5;93.29 Деятельность по организации отдыха и развлечений прочая;"Витрины и вывески;Event-management;BTL агентства;Loyalty Group;Лидеры рынка;Level Agency;Презентации;Избранное";alladvertising;https://bo.nalog.gov.ru/organizations-card/11035738
7725611120;SEVEN;"ООО ""СЕВЕН""";https://7-agency.ru/ru;Москва;Москва, ул. Зорге, 1, стр. 1;+7 (495) 748-59-59;info@7-agency.ru;2024;1227;73.11 Деятельность рекламных агентств;"Оформление мест продаж POS;Progression Group;Мерчандайзинг;BTL агентства;Лидеры рынка;Избранное;WPP Group;Сэмплинг;Ogilvy;SEVEN;7";alladvertising;https://bo.nalog.gov.ru/organizations-card/2344896
9715339398;LeaderTeam;"ООО ""ЦЕФЕЙ""";https://www.leaderteam.ru;Москва;Москва, Красногорск, бульвар Строителей, 4, стр. 1, сектор Г, 2 этаж;+7 (495) 225-88-30;moscow@leaderteam.ru;2024;7138;73.11 Деятельность рекламных агентств;"Оформление мест продаж POS;BTL агентства;Мерчандайзинг;Лидеры рынка;Презентации;LeaderTeam;Избранное;РАМУ";alladvertising;https://bo.nalog.gov.ru/organizations-card/10942982
7730638102;POS Management;"ООО ""ПИ.О.ЭС. МЕНЕДЖМЕНТ""";https://posmanagement.ru;Москва;Москва, ул. Складочная, 1Б, стр. 1, пом. 13;+7 (495) 989-21-56;info@posmanagement.ru;2024;252,5;73.20 Исследование конъюнктуры рынка и изучение общественного мнения;"Оформление мест продаж POS;POS Management;BTL агентства;Мерчандайзинг;Лидеры рынка;Избранное";alladvertising;https://bo.nalog.gov.ru/organizations-card/2692837
7842091139;ARS MAGNA;"ООО ""БТЛ Регион""";https://btl-agency.ru;Москва;Москва, Садовническая наб., 9, офис 8;+7 (499) 677-54-32;client@btl-agency.ru;2024;315,1;73.11 Деятельность рекламных агентств;"Оформление мест продаж POS;Event-management;Мерчандайзинг;BTL агентства;Презентации;Избранное;ARS MAGNA;Сэмплинг;РАМУ";alladvertising;https://bo.nalog.gov.ru/organizations-card/9627028
7705746626;Prpartner;ООО «ПР Партнер»;https://prpartner.ru/;Москва;Москва, наб Садовническая, д. 7, помещ. 6;+7 (499) 647-47-17;"info@prpartner.ru; sales@prpartner.ru";2024;207,2;73.11 Деятельность рекламных агентств;"Специализируется на комплексном PR, SMM, антикризисных коммуникациях и ивентах.;Работает с компаниями разного масштаба — от стартапов до крупных брендов.;В кейсах — Centra, MYBOX, Vertiv, Madame Coco, ITGLOBAL.COM и другие.";directline.pro;https://bo.nalog.gov.ru/organizations-card/3103189
7714978535;Fruitful solutions;"ООО ""Результативные маркетинговые технологии""";https://f-sol.ru/;Москва;Москва, ул. 4-Я 8 Марта, дом 6А, этаж 4, помещение Х, комната 11;+7 (495) 777-91-39;info5@f-sol.ru;2024;246,2;62.01 Разработка компьютерного программного обеспечения;"Сильные стороны — SEO с выделенной командой, контент от собственной редакции, веб-разработка, а также реклама и продвижение на маркетплейсах.;Подходит компаниям, которым нужен стабильный рост в поиске, проработка репутации и запуск масштабных онлайн-мероприятий.;Среди клиентов — Tele2, Туризм.РФ, Пятерочка, ВТБ, Мособлгаз, Банк ПСБ.";directline.pro;https://bo.nalog.gov.ru/organizations-card/10131798
9718113600;MARCON;"ООО ""МАРКОН""";https://mar-con.ru/;Москва;Москва, вн.тер. г. Муниципальный Округ Гольяново, ул Монтажная, дом 9, строение 1, помещение 13Н/3;+7 (495) 137-45-00;info@mar-con.ru;2024;216,7;73.11 Деятельность рекламных агентств;"Специализируется на PR, стратегических коммуникациях, SMM, дизайне, продюсировании мероприятий и digital-продвижении.;Агентство полного цикла, сотрудничает с корпоративными клиентами и международными топ-брендами.;Среди клиентов — Electrolux, Kia, BASF, Continental, Gislaved, Shell Caf?.";directline.pro;https://bo.nalog.gov.ru/organizations-card/10786073
7725769942;VBI;"ООО ""ВЫСОКИЕ БИЗНЕС ИДЕИ""";https://vbi.ru/;Москва;Москва, ул. Бережковская, 28, 3/2;+7 (495) 153-64-18;info@vbi.ru;2024;923,3;62.01 Разработка компьютерного программного обеспечения;"Фокусируется на медийной рекламе, поисковой аналитике, автоматизации маркетинга и управлении репутацией.;Digital-агентство для крупного и растущего бизнеса.;Среди клиентов — Chery, CDEK.Shopping, Genotek, РЖД-Медицина и Avilon.";directline.pro;https://bo.nalog.gov.ru/organizations-card/7445427
7704637631;Текарт;"ООО ""МЕДИА ТЕКАРТ""";https://techart.ru;Москва;Москва, Варшавское шоссе, д. 47, 4, 19;+7 (495) 790-75-91;info@techart.ru;2024;214,8;73.11 Деятельность рекламных агентств;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/6641533
9705151710;Demis Group;"ООО ""МИОП""";https://www.demis.ru;Санкт-Петербург;Москва, ул. Пятницкая, 37, 1/1;+7 (495) 223-66-59;info+4190966@demis.ru;2024;910,4;73.11 Деятельность рекламных агентств;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/11493803
7725814962;ArrowMedia;ООО «АРВМ»;https://arwm.ru;Москва;Москва, ул. Ленинская Слобода, д. 19, 242;+7 (495) 648 68 65;ad@arwm.ru;2024;7016;73.11 Деятельность рекламных агентств;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/8284241
7731515791;IT agency;"ООО ""АЙТИ-АГЕНТСТВО""";https://www.it-agency.ru/;Москва;Москва г, ул.Новопеределкинская, д.12, к.1, кв.136;+7 495 646-61-37;sales@it-agency.ru;2024;214;62.01 Разработка компьютерного программного обеспечения;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/3575800
3445103528;INTERVOLGA;ООО «Интернет-агентство ИНТЕРВОЛГА»;https://www.intervolga.ru/adv/;Волгоград;Волгоградская обл., Волгоград, ул. им. В.И. Ленина, 50А, 36;"+7 (495) 648-57-90; +7 (844) 295-99-99";info@intervolga.ru;2024;298,1;62.01 Разработка компьютерного программного обеспечения;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/4149114
7708250280;4 Пикселя;"ООО ""4 ПИКСЕЛЯ +""";https://4px.ru/;Москва;Москва г, ул 1-я 8 Марта, д. 3, кв. 62;"+7 (495) 181-16-19; +7 (916) 298-30-38";hello@4px.ru;2024;2613;63.11 Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/9138213
7725384357;Mobisharks;"ООО ""МОБАЙЛ""";https://mobisharks.com/en;Москва;Москва, вн.тер. г. Муниципальный Округ Мещанский, ул Садовая-Сухаревская, дом 2/34, строение 1, помещение 11/3;+7 (495) 308-01-10;info@mobisharks.com;2024;897,5;62.09 Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/10300473
9709027129;Tandem Group;"ООО ""ТАК""";https://tandemdigital.ru;Москва;Москва, улица Нижегородская, дом 32, строение 5, эт. 3, пом. 1, ком. 20;+7 (495) 180-31-05;info@tandemdigital.ru;2024;1806;73.11 Деятельность рекламных агентств;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/10573385
7743099578;A1 team;ООО «Адвертайзинг маркетинг групп»;https://www.a1-team.ru/;Москва;Москва, пер. Большой Знаменский, дом 1, корпус 1, ЭТ/ПОМ/К 3/IX/1;+7 (495) 799-49-59;Hello@A1-Team.ru;2024;205,3;73.11 Деятельность рекламных агентств;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/9209773
5260246781;E-Promo;ООО «Е-Промо»;https://www.e-promo.ru;Нижний Новгород;Нижегородская обл, г Нижний Новгород, ул Алексеевская, д 6/16, пом.17;+7 (495) 646-04-85;"hrgroup@e-promo.ru; sales@e-promo.ru";2024;2819;63.11.1 Деятельность по созданию и использованию баз данных и информационных ресурсов;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/1894070
7725268791;ЗЕКСЛЕР;"ООО ""ЗЕКСЛЕР""";https://zexler.ru;Москва;Москва г, Угрешская ул, дом № 2, строение 95, офис 514;+7 (499) 110-92-21;"director+7956@zexler.ru; director@zexler.ru";2024;205,8;73.11 Деятельность рекламных агентств;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/9166353
7709484805;Twiga;"ООО ""ТВИГА ДИДЖИТАЛ ПЕРФОРМАНС""";https://twiga.ru/;Москва;Москва г, вн.тер.г. Даниловский, наб Дербеневская, д. 7, стр. 22, этаж 4, помещ. XIII, ком. 89;+7 (495) 987-35-95;ask@twigacg.com;2024;3184;73.11 Деятельность рекламных агентств;Полный цикл;pavezlo.ru;https://bo.nalog.gov.ru/organizations-card/9625167
7704628250;Maximice;"ООО ""МАКСИМАЙС""";https://www.maximice.ru;Москва;Москва, ул. Пречистенка, д.40/2, стр. 1, под. 3, этаж 3;+7 (495) 739-33-58;info@maximice.ru;2024;1977;82.30 Деятельность по организации конференций и выставок;"BTL; Рекламные услуги; ATL; Креатив; Creative service;Организация мероприятий";https://adindex.ru;https://bo.nalog.gov.ru/organizations-card/3011912
7701752869;Eventum premo;"ООО ""ЕВЕНТУМ. КОНФЕРЕНЦИИ И СЕМИНАРЫ""";https://eventum-premo.ru;Москва;Москва, Спартаковский пер. 2 с. 1 БЦ «ПЛАТФОРМА» (2-й подъезд, 4 этаж);+7 (495) 785-84-46;go@eventum-premo.ru;2024;931,9;82.99 Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки;"BTL; Рекламные услуги; ATL; Креатив; Creative service;Организация мероприятий";https://adindex.ru;https://bo.nalog.gov.ru/organizations-card/556208
7718759774;ICON;"ООО ""АЙКОН""";https://iconagency.ru;Москва;Москва, ул. Ленинградский проспект, д.80, корпус 21;+7 (495) 688-77-99;info@iconagency.ru;2024;4159;62.09 Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;Медиасервис;https://adindex.ru;https://bo.nalog.gov.ru/organizations-card/4479126
7725303485;Boost;"ООО ""АГЕНТСТВО БУСТ""";https://boost.team/;Москва;Москва г, Орджоникидзе ул, дом № 11, корпус 10, офис 2А; +7 (499) 753-49-40;info@boost.team;2024;382,3;73.11 Деятельность рекламных агентств;Организация мероприятий;https://adindex.ru;https://bo.nalog.gov.ru/organizations-card/9592485
7723633495;Diversity;"ООО ""ДАЙВЕРСИТИ""";https://www.thediversity.ru;Москва;Москва, 2-й Кожевнический переулок,;+7 (495) 789-38-21;we@thediversity.ru;2024;1 832;73.11 Деятельность рекламных агентств;"Стимулирование сбыта; Организация мероприятий;интегрированные коммуникации; Прямой маркетинг";;https://bo.nalog.gov.ru/organizations-card/1563683
;;;;;дом 12, подъезд 13, этаж 3;;;;;;;;
