inn,name,revenue_year,revenue,segment_tag,source,rating_ref,okved_main,employees,site,description,region,contacts,email,address,founded,specializations,services,img_src,img_alt
,RI Communication,,,Оформление мест продаж POS;RI Communication;Мерчандайзинг;BTL агентства;Презентации;Избранное;Сэмплинг;RUSINFO;АКАР;РАМУ,alladvertising,https://www.alladvertising.ru/info/ri_communication.html,,,https://ricommunication.ru,"Весь спектр услуг в сфере событийного, торгового и потребительского маркетинга на территории России: взаимодействие с торговыми сетями и ведение взаиморасчетов с поставщиками услуг, организация промо-акций и проведение масштабных мероприятий, мотивационные программы, исследование рынка и аудит, разработка креативных сценариев и кадровый аутсорсинг.",Санкт-Петербург,+7 (495) 846-84-95,info@ricommunication.ru,"Санкт-Петербург, Удельный пр., 5",,,,https://www.alladvertising.ru/porridge/83/101/30c2756c81de0fb85c0d63b6d24bc74c,RI Communication
,BrandNew,,,Progression Group;BTL агентства;Лидеры рынка;Презентации;Избранное;BrandNew;SMM,alladvertising,https://www.alladvertising.ru/info/brandnew.html,,,https://www.brandnew.ru,"Агентство BrandNew предлагает спектр услуг по организации специальных мероприятий для привлечения аудитории и стимулирования продаж: промо-акции, активации, мотивационные программы, спецпроекты в социальных сетях и Digital PR.",Москва,+7 (495) 748-59-55,info@progressiongroup.ru,"Москва, ул. Зорге, 1, стр. 1",2001.0,,,https://www.alladvertising.ru/porridge/83/101/6c2c553d3bbd34daefb49e1b8f9bca59,BrandNew
,Merchandising Solutions,,,Оформление мест продаж POS;Merchandising Solutions;BTL агентства;Мерчандайзинг;Избранное;Сэмплинг,alladvertising,https://www.alladvertising.ru/info/merchandising_solutions.html,,,https://www.merchandisingsolutions.ru,Агентство «Мерчандайзинг Солюшнс» оказывает полный комплекс услуг по продвижению продукции в федеральных и региональных торговых розничных сетях.,Москва,+7 (495) 297-97-78,info@merchandisingsolutions.ru,"Москва, Ракетный бульвар, 16",2009.0,,,https://www.alladvertising.ru/porridge/83/101/07238d8667df6ef8a002a1df4f50e654,Merchandising Solutions
,Master In,,,Полиграфическое производство;Нестандартные носители;Реклама на транспорте;Витрины и вывески;Цифровые экраны;Световые короба;Медиа-агентства;BTL агентства;Лидеры рынка;Медиаселлеры;Медиабайеры;Избранное;Master In;Стенды;Indoor;АКАР,alladvertising,https://www.alladvertising.ru/info/master_in.html,,,https://master-in.ru,"Агентство «Мастер Ин» специализируется на проведении рекламных кампаний в бизнес-центрах и ВУЗах по всей России, а также предлагает услуги по организации промо-акций, размещению рекламы на транспорте, распространению печатной рекламной продукции, размещению нестандартных рекламных носителей.",Санкт-Петербург,+7 (495) 255-06-07,sale@master-in.ru,"Санкт-Петербург, ул. Миллионная, 6, офис 104",2009.0,,,https://www.alladvertising.ru/porridge/83/101/358352c0799a54f32d188c8502c53398,Master In
,PAPA CARLO,,,Оформление мест продаж POS;Event-management;Мерчандайзинг;BTL агентства;Лидеры рынка;Презентации;PAPA CARLO;Избранное;Сэмплинг,alladvertising,https://www.alladvertising.ru/info/carlo_btl.html,,,https://papa-carlo.ru,"Специализированное BTL-агентство PAPA CARLO предлагает комплекс маркетинговых услуг по продвижению товаров и услуг с помощью организации промо-акций и знаковых мероприятий в Москве, Екатеринбурге, Новосибирске и других крупных городах России.",Москва,+7 (495) 385-84-00,welcome@papa-carlo.ru,"Москва, Гжельский переулок, 19",2002.0,,,https://www.alladvertising.ru/porridge/83/101/204ce3f49f24c7166b48f189622270a9,PAPA CARLO
,Progression Group,,,Стратегическое планирование;Реклама в социальных сетях;Агентства полного цикла;Медиапланирование;Progression Group;Интернет-реклама;Мерчандайзинг;BTL агентства;Лидеры рынка;Медиабайеры;Progression;Избранное;Игроник;РАМУ;АКАР;SMM,alladvertising,https://www.alladvertising.ru/info/progression_group.html,,,https://progressiongroup.ru,"Одна из крупнейших независимых групп на российском рекламном рынке, специализирующаяся на решении стратегических задач в области маркетинга, медиапланирования, BTL и мерчандайзинга, digital-коммуникаций.",Москва,+7 (495) 748-59-60,info@progressiongroup.ru,"Москва, Берсеневская наб., 8, стр. 1",1995.0,,,https://www.alladvertising.ru/porridge/83/101/386ef5f56857285cf52b4c9183ce31dc,Progression Group
,RED Agency,,,Оформление мест продаж POS;Интернет-реклама;Мерчандайзинг;BTL агентства;Лидеры рынка;Red Agency;Избранное;Стенды,alladvertising,https://www.alladvertising.ru/info/red_agency.html,,,https://red-agency.ru,"Агентство RED — это опытные специалисты российской BTL-индустрии, специализирующиеся на торговом маркетинге, организации промо-акций и мерчендайзинге в ритейле.Компания осуществляет полный спектр услуг в сфере BTL — от разработки стандартов мерчендайзинга, программ лояльности и промо-акций до сложных интегрированных проектов.",Москва,+7 (495) 787-25-87,blue@red-agency.ru,"Москва, Большой Саввинский пер., 12, стр. 18, офис 302",2012.0,,,https://www.alladvertising.ru/porridge/83/101/e41f3c941df48b8339444ccdc0c1ef47,RED Agency
,Level Agency,,,Витрины и вывески;Event-management;BTL агентства;Loyalty Group;Лидеры рынка;Level Agency;Презентации;Избранное,alladvertising,https://www.alladvertising.ru/info/level_event_agency.html,,,https://level-agency.com,"Event-агентство Level оказывает полный спектр услуг в сфере организации деловых и развлекательных событий, маркетинговых и PR-акций, внутренних и внешних коммуникаций, включая продакшн и продвижение в цифровой среде.",Москва,+7 (495) 122-22-69,info@level-agency.com,"Москва, ул. Большая Татарская, 35, стр. 7-9, офис 14Б",2003.0,,,https://www.alladvertising.ru/porridge/83/101/c2e38a07789bd8429b82332811199846,Level Agency
,SEVEN,,,Оформление мест продаж POS;Progression Group;Мерчандайзинг;BTL агентства;Лидеры рынка;Избранное;WPP Group;Сэмплинг;Ogilvy;SEVEN;7,alladvertising,https://www.alladvertising.ru/info/7.html,,,https://7-agency.ru/ru,"Одно из крупнейших агентств в области трейд-маркетинга на российском рынке, предоставляющее на федеральном уровне комплекс качественных услуг в области полевого маркетинга, мерчандайзинга и размещения POSM.",Москва,+7 (495) 748-59-59,info@7-agency.ru,"Москва, ул. Зорге, 1, стр. 1",2007.0,,,https://www.alladvertising.ru/porridge/83/101/564757d6a194c58adc109e68df11947e,SEVEN
,LeaderTeam,,,Оформление мест продаж POS;BTL агентства;Мерчандайзинг;Лидеры рынка;Презентации;LeaderTeam;Избранное;РАМУ,alladvertising,https://www.alladvertising.ru/info/leader_team.html,,,https://www.leaderteam.ru,"Компания LeaderTeam специализируется на предоставлении услуг в сфере трейд и ритейл-маркетинга: мерчандайзинг, HR-аутсорсинг, розничные сети и складская логистика, независимая инвентаризация и аналитика данных торговых сетей.",Москва,+7 (495) 225-88-30,moscow@leaderteam.ru,"Москва, Красногорск, бульвар Строителей, 4, стр. 1, сектор Г, 2 этаж",2003.0,,,https://www.alladvertising.ru/porridge/83/101/0dedc08cb140b04ff4afd5ee3d4a678c,LeaderTeam
,POS Management,,,Оформление мест продаж POS;POS Management;BTL агентства;Мерчандайзинг;Лидеры рынка;Избранное,alladvertising,https://www.alladvertising.ru/info/pos_management.html,,,https://posmanagement.ru,"Агентство оказывает комплекс услуг в области торгового маркетинга и мерчандайзинга, помогая производителям и дистрибьюторам расширять сеть присутствия и продвигать  продукцию в местах продаж.",Москва,+7 (495) 989-21-56,info@posmanagement.ru,"Москва, ул. Складочная, 1Б, стр. 1, пом. 13",2011.0,,,https://www.alladvertising.ru/porridge/83/101/1b3e44890530cbfb073f0c58eecbad91,POS Management
,ARS MAGNA,,,Оформление мест продаж POS;Event-management;Мерчандайзинг;BTL агентства;Презентации;Избранное;ARS MAGNA;Сэмплинг;РАМУ,alladvertising,https://www.alladvertising.ru/info/ars_magna.html,,,https://btl-agency.ru,"Агентство ARS MAGNA специализируется на разработке и проведении масштабных активаций в области торгового и потребительского маркетинга, а также на комплексной организации мероприятий и поддержке в цифровой среде.",Москва,+7 (499) 677-54-32,client@btl-agency.ru,"Москва, Садовническая наб., 9, офис 8",2016.0,,,https://www.alladvertising.ru/porridge/83/101/h_92f0abaca6495dce737101bc3ca0778d,Агентство ARS MAGNA
,Игра слов,,,"Специализируется на PR-стратегиях, продвижении IT-продуктов, личных брендов и управлении репутацией.;Подходит стартапам, крупному бизнесу и публичным экспертам.;Среди клиентов — Вкусвилл, Dreamteamforum, Want и др.",directline.pro,https://www.directline.pro/recommend/igra-slov/373669/1/,,,https://pr-igraslov.ru/,"Специализируется на PR-стратегиях, продвижении IT-продуктов, личных брендов и управлении репутацией. Подходит стартапам, крупному бизнесу и публичным экспертам. Среди клиентов — Вкусвилл, Dreamteamforum, Want и др.",Москва,,,,2016,,,https://www.directline.pro/wp-content/uploads/2025/06/igra-slov-222x126.png,
,Redline PR,,,"Фокус на результатах: рост узнаваемости, позитивный информационный фон, увеличение заявок.;Предлагают услуги в сфере PR, SERM, контент-маркетинга, дизайна и разработки сайтов.;Среди клиентов — Леруа Мерлен, Canon, Siemens, Panasonic, Мосэнергосбыт.",directline.pro,https://www.directline.pro/recommend/redline-pr/373669/2/,,,https://redline-pr.ru/,"Фокус на результатах: рост узнаваемости, позитивный информационный фон, увеличение заявок. Предлагают услуги в сфере PR, SERM, контент-маркетинга, дизайна и разработки сайтов. Среди клиентов — Леруа Мерлен, Canon, Siemens, Panasonic, Мосэнергосбыт.",Москва,,,,2009,,,https://www.directline.pro/wp-content/uploads/2025/06/skrinshot-26-06-2025-114015-e1750927979451-222x126.jpg,
,Взрывной PR,,,"Опыт в создании вирусных инфоповодов, креативных PR-стратегий и размещении в федеральных медиа.;Для бизнесов, которым нужны быстрые продажи, внимание СМИ и рост узнаваемости.;Среди клиентов — Бургер Кинг, Klatz, Лигногумат.",directline.pro,https://www.directline.pro/recommend/vzryvnoy-pr/373669/3/,,,https://piar.bz/,"Опыт в создании вирусных инфоповодов, креативных PR-стратегий и размещении в федеральных медиа. Для бизнесов, которым нужны быстрые продажи, внимание СМИ и рост узнаваемости. Среди клиентов — Бургер Кинг, Klatz, Лигногумат.",Москва,,,,2006,,,https://www.directline.pro/wp-content/uploads/2025/06/vzryvnoj-pr-222x126.png,
,Tolk.digital,,,"Анализирует текущий маркетинг, настраивает рекламу и ведет соцсети, ориентируясь по показателю ROI.;Преимущественно для маркетплейсов и интернет-провайдеров.;Партнеры с МТС, «Ростелеком», также работали с музыкальной группой Bravo Metehi .",directline.pro,https://tolk.digital/,,,https://tolk.digital/,"Анализирует текущий маркетинг, настраивает рекламу и ведет соцсети, ориентируясь по показателю ROI. Преимущественно для маркетплейсов и интернет-провайдеров. Партнеры с МТС, «Ростелеком», также работали с музыкальной группой Bravo Metehi .",Новосибирск,,,,2013,,,https://www.directline.pro/wp-content/uploads/2025/11/tolk.digital-222x126.jpg,
,Prpartner,,,"Специализируется на комплексном PR, SMM, антикризисных коммуникациях и ивентах.;Работает с компаниями разного масштаба — от стартапов до крупных брендов.;В кейсах — Centra, MYBOX, Vertiv, Madame Coco, ITGLOBAL.COM и другие.",directline.pro,https://www.directline.pro/recommend/prpartner/373669/5/,,,https://prpartner.ru/,"Специализируется на комплексном PR, SMM, антикризисных коммуникациях и ивентах. Работает с компаниями разного масштаба — от стартапов до крупных брендов. В кейсах — Centra, MYBOX, Vertiv, Madame Coco, ITGLOBAL.COM и другие.",Москва,,,,2006,,,https://www.directline.pro/wp-content/uploads/2025/06/prpartner-222x126.png,
,Fruitful solutions,,,"Сильные стороны — SEO с выделенной командой, контент от собственной редакции, веб-разработка, а также реклама и продвижение на маркетплейсах.;Подходит компаниям, которым нужен стабильный рост в поиске, проработка репутации и запуск масштабных онлайн-мероприятий.;Среди клиентов — Tele2, Туризм.РФ, Пятерочка, ВТБ, Мособлгаз, Банк ПСБ.",directline.pro,https://www.directline.pro/recommend/fruitful-solutions/373669/6/,,,https://f-sol.ru/,"Сильные стороны — SEO с выделенной командой, контент от собственной редакции, веб-разработка, а также реклама и продвижение на маркетплейсах. Подходит компаниям, которым нужен стабильный рост в поиске, проработка репутации и запуск масштабных онлайн-мероприятий. Среди клиентов — Tele2, Туризм.РФ, Пятерочка, ВТБ, Мособлгаз, Банк ПСБ.",Москва,,,,2005,,,https://www.directline.pro/wp-content/uploads/2025/06/fruitful-solutions-222x126.png,
,Непросто PR,,,"Сфокусировано на PR-сопровождении, репутации, GR, личном бренде и продвижении в Telegram.;Сотрудничают со стартапами, коммерческими компаниями, топ-брендами, госструктурами и частными клиентами.;Кейсы: Tenchat, РОЛЬФ, IT-компании и культурные проекты.",directline.pro,https://www.directline.pro/recommend/neprosto-pr/373669/7/,,,https://neprostopr.ru/,"Сфокусировано на PR-сопровождении, репутации, GR, личном бренде и продвижении в Telegram. Сотрудничают со стартапами, коммерческими компаниями, топ-брендами, госструктурами и частными клиентами. Кейсы: Tenchat, РОЛЬФ, IT-компании и культурные проекты.",Москва,,,,2023,,,https://www.directline.pro/wp-content/uploads/2025/06/neprosto-pr-222x126.png,
,MARCON,,,"Специализируется на PR, стратегических коммуникациях, SMM, дизайне, продюсировании мероприятий и digital-продвижении.;Агентство полного цикла, сотрудничает с корпоративными клиентами и международными топ-брендами.;Среди клиентов — Electrolux, Kia, BASF, Continental, Gislaved, Shell Café.",directline.pro,https://www.directline.pro/recommend/marcon/373669/8/,,,https://mar-con.ru/,"Специализируется на PR, стратегических коммуникациях, SMM, дизайне, продюсировании мероприятий и digital-продвижении. Агентство полного цикла, сотрудничает с корпоративными клиентами и международными топ-брендами. Среди клиентов — Electrolux, Kia, BASF, Continental, Gislaved, Shell Café.",Москва,,,,1998,,,https://www.directline.pro/wp-content/uploads/2025/06/marcon-222x126.png,
,BondSoft,,,"Занимается медийным продвижением, аналитикой, защитой рекламы, репутацией и сбором спроса.;Подойдет клиентам из недвижимости и гостиничного бизнеса.;Делали продвижение для отеля Ареал и Барская усадьба, глэмпинга Aurora Village, компании VIZANT.",directline.pro,https://www.directline.pro/recommend/bondsoft/373669/9/,,,https://www.bondsoft.ru/,"Занимается медийным продвижением, аналитикой, защитой рекламы, репутацией и сбором спроса. Подойдет клиентам из недвижимости и гостиничного бизнеса. Делали продвижение для отеля Ареал и Барская усадьба, глэмпинга Aurora Village, компании VIZANT.",Ростов-на-Дону,,,,2005,,,https://www.directline.pro/wp-content/uploads/2025/06/bondsoft-222x126.png,
